date,round_id,course,tee,yards,par,holes,score,to_par,front,back,fairways_hit,fairways_total,fairways_left,fairways_right,gir,gir_total,gir_short,gir_long,gir_left,gir_right,putts,three_putts,penalties,up_down_pct,birdies,pars,bogeys,doubles_or_worse,putts_made_5_15,putts_faced_5_15,greens_firm,green_speed,wind,tee_club,app_handicap,source,notes
2025-11-07,a0ff5bf0-bc0a-11f0-9912-021d58ec5439,Crandon Golf At Key Biscayne,,,72,18,99,27,45,54,9,13,2,2,3,18,5,,5,2,35,,,,0,5,5,8,,,,,,,21.1,18birdies,
2025-11-08,ede62850-bcbd-11f0-adb2-029b90f35a4e,Normandy Shores Golf Course,,,72,18,90,18,43,47,10,14,3,1,6,18,8,1,1,1,39,,,,0,6,6,6,,,,,,,15.3,18birdies,
2025-11-14,fdfbbeb0-c16f-11f0-ada9-06d15d9e7497,El Cielo Country Club,,,72,18,95,23,48,47,8,14,1,4,5,18,6,2,2,1,38,,,,0,3,8,7,,,,,,,23.7,18birdies,
2025-11-18,debce2c0-c4b9-11f0-adb2-029b90f35a4e,Enagic at Eastlake,,,72,18,94,22,44,50,6,14,2,5,3,18,7,,3,3,37,,,,1,2,7,8,,,,,,,19.6,18birdies,
2025-11-22,09bb80d0-c7d5-11f0-b6c3-021d58ec5439,Bonita Golf Course,,,72,18,88,16,43,45,8,14,2,3,6,18,4,1,3,2,32,,,,0,5,9,4,,,,,,,17.8,18birdies,
2025-11-23,ca779e30-c893-11f0-ab39-06d15d9e7497,Campestre de Tijuana,,,72,18,89,17,46,43,5,14,4,2,3,18,6,1,,4,30,,,,1,3,12,2,,,,,,,16.0,18birdies,
2025-11-28,52b58e40-cc9c-11f0-a42d-06d15d9e7497,Campestre de Tijuana,,,,9,48,,48,,6,14,,1,3,18,1,,2,3,23,,,,0,2,3,4,,,,,,,,18birdies,
2025-12-07,9124e460-d394-11f0-a26a-029b90f35a4e,Campestre de Tijuana,,,72,18,90,18,46,44,5,14,1,6,4,18,5,,2,6,36,,,,0,5,9,4,,,,,,,18.1,18birdies,
2025-12-08,8d2223f0-d45c-11f0-b468-021d58ec5439,Campestre de Tijuana,,,72,18,91,19,48,43,4,14,7,3,4,18,7,2,1,4,33,,,,2,2,9,5,,,,,,,19.0,18birdies,
2025-12-13,68978aa0-d85f-11f0-83bd-06508d097ff9,Balboa Park,,,72,18,85,13,42,43,4,14,2,7,7,18,7,,1,2,36,,,,1,6,8,3,,,,,,,15.5,18birdies,
2025-12-20,e07e3c60-ddd4-11f0-85a6-0a202d83cc26,Enagic at Eastlake,,,72,18,84,12,43,41,8,14,3,2,7,18,6,2,3,,35,,,,1,5,11,1,,,,,,,12.5,18birdies,
2025-12-22,8b9893e0-df77-11f0-9711-06dc4cbfdf1e,Enagic at Eastlake,,,72,18,89,17,43,46,7,14,2,3,11,18,4,,1,2,44,,,,0,5,9,4,,,,,,,16.9,18birdies,
2025-12-26,db3126b0-e283-11f0-a523-06d15d9e7497,Enagic at Eastlake,,,72,18,87,15,45,42,4,14,2,5,6,18,7,2,2,1,36,,,,1,6,6,5,,,,,,,15.1,18birdies,
2025-12-28,6bedfb50-e415-11f0-b164-06508d097ff9,Steele Canyon Golf Club,,,72,18,98,26,48,50,7,13,1,2,2,18,7,,2,,37,,,,0,1,10,7,,,,,,,21.8,18birdies,
2025-12-29,0e1858a0-e4dc-11f0-80af-0a37364634b7,Enagic at Eastlake,,,72,18,86,14,42,44,10,14,,2,7,18,5,1,2,1,35,,,,1,6,9,2,,,,,,,13.3,18birdies,
2025-12-30,38082650-e5a8-11f0-80af-0a37364634b7,Maderas Golf Club,,,72,18,98,26,49,49,8,14,1,3,2,18,7,1,1,3,33,,,,0,4,5,9,,,,,,,22.5,18birdies,
2026-01-02,b848da50-e808-11f0-8951-02627b678af7,Enagic at Eastlake,,,72,18,91,19,43,48,6,14,3,2,7,18,5,3,2,,35,,,,0,6,7,5,,,,,,,17.8,18birdies,
2026-01-03,51487720-e8df-11f0-8fcb-021d58ec5439,Enagic at Eastlake,,,72,18,85,13,42,43,5,14,5,1,6,18,5,2,3,,33,,,,0,7,9,2,,,,,,,13.3,18birdies,
2026-01-04,3b26c2c0-e98a-11f0-a821-06dc4cbfdf1e,Enagic at Eastlake,,,72,18,85,13,41,44,10,14,1,1,8,18,5,,1,3,35,,,,0,6,11,1,,,,,,,13.3,18birdies,
2026-01-09,c92afb80-ed96-11f0-9b78-0ab15c307481,Campestre de Tijuana,,,72,18,84,12,41,43,7,14,4,3,4,18,10,1,,3,31,,,,1,5,11,1,,,,,,,12.7,18birdies,
2026-02-21,5d2e7ff0-0f43-11f1-9a21-0a37364634b7,The Club at Emerald Hills,,,72,18,98,26,47,51,9,14,4,1,3,18,10,,1,2,38,,,,0,2,9,7,,,,,,,19.9,18birdies,
2026-03-01,913fc6f0-15a1-11f1-bce6-02627b678af7,Campestre de Tijuana,,,72,18,91,19,44,47,5,14,3,5,5,18,8,1,,,35,,,,0,6,6,6,,,,,,,19.0,18birdies,
2026-03-08,23356200-1b0a-11f1-bce6-02627b678af7,Enagic at Eastlake,,,72,18,89,17,47,42,3,14,3,5,5,18,8,1,,2,32,,,,2,4,6,6,,,,,,,16.0,18birdies,
2026-03-10,704ad870-1cce-11f1-a9d0-0a13f7eef7bd,Enagic at Eastlake,,,72,18,86,14,43,43,5,14,3,5,7,18,5,3,2,1,37,,,,0,9,5,4,,,,,,,13.3,18birdies,
2026-03-13,b5200210-1f29-11f1-9135-0a456b4aa951,Enagic at Eastlake,,,72,18,84,12,41,43,8,14,3,3,10,18,5,1,1,,39,,,,1,7,7,3,,,,,,,14.6,18birdies,
2026-03-14,5f7affe0-1fc9-11f1-9f65-026cea355d3f,Enagic at Eastlake,,,72,18,87,15,43,44,4,14,1,7,5,18,8,,2,1,35,,,,0,8,5,5,,,,,,,15.1,18birdies,
2026-04-10,720f6640-3500-11f1-9581-068d11321665,The Club at Savannah Harbor,,,72,18,89,17,46,43,8,14,2,4,5,18,6,1,3,2,38,,,,1,3,11,3,,,,,,,16.0,18birdies,
2026-04-13,f63fddc0-372e-11f1-b820-068d11321665,Shipyard Golf Club,,,72,18,94,22,47,47,6,14,1,7,2,18,8,,,5,29,,,,0,4,8,6,,,,,,,18.5,18birdies,
2026-04-14,0c106b50-3839-11f1-bfb6-06aa16f34bd3,Oyster Reef Golf Club,,,72,18,87,15,45,42,7,14,3,3,5,18,6,,2,1,32,,,,1,6,8,3,,,,,,,13.5,18birdies,
2026-04-15,83095820-38c0-11f1-b608-0606d22ea88b,Port Royal Golf Club,,,72,18,94,22,44,50,7,14,6,1,7,18,1,1,3,2,36,,,,0,6,6,6,,,,,,,19.6,18birdies,
2026-04-15,9dd8d181-38e3-11f1-b608-0606d22ea88b,Port Royal Golf Club,,,72,18,94,22,48,46,6,14,1,3,2,18,10,,4,,31,,,,1,1,11,5,,,,,,,19.6,18birdies,
2026-04-17,84eafc90-3a85-11f1-960a-02d9778a0d31,Palmetto Hall Plantation Club,,,72,18,97,25,49,48,6,14,1,6,2,18,7,,,4,38,,,,0,3,7,8,,,,,,,20.4,18birdies,
2026-05-02,4467ee70-4661-11f1-8361-0606d22ea88b,Campestre de Tijuana,,,72,18,91,19,46,45,6,14,6,2,3,18,10,,1,4,35,,,,0,3,11,4,,,,,,,17.9,18birdies,
2026-05-03,40c98100-471c-11f1-9e09-02d9778a0d31,Campestre de Tijuana,,,72,18,90,18,43,47,8,14,2,4,5,18,10,1,1,1,37,,,,0,5,8,5,,,,,,,18.1,18birdies,
2026-05-08,436545f0-4b0b-11f1-a047-0606d22ea88b,Enagic at Eastlake,,,72,18,84,12,44,40,7,14,4,3,10,18,2,3,1,1,38,,,,1,7,7,3,,,,,,,12.5,18birdies,
2026-05-08,e4a57ec0-4a7b-11f1-bb31-068d11321665,National City,,,,9,38,,38,,3,6,1,2,4,9,1,2,,2,14,,,,0,5,4,0,,,,,,,14.0,18birdies,
2026-05-12,9d9d9950-4e44-11f1-a2ee-0a13f7eef7bd,Twin Oaks Golf Course,,,72,18,85,13,44,41,7,14,1,3,7,18,3,,3,2,34,,,,0,9,7,2,,,,,,,12.7,18birdies,
2026-05-14,79b4ac50-4fd8-11f1-8c48-06aa16f34bd3,Campestre de Tijuana,,,,9,44,,44,,4,7,2,,4,9,4,,,1,20,,,,0,5,1,3,,,,,,,16.5,18birdies,
2026-05-15,ddb9b240-50a0-11f1-9419-026cea355d3f,Campestre de Tijuana,,,72,18,85,13,41,44,8,14,2,4,8,18,5,,1,4,38,,,,0,7,9,2,,,,,,,13.6,18birdies,
2026-05-16,223ea080-5171-11f1-8bbf-0a13f7eef7bd,Enagic at Eastlake,,,72,18,84,12,44,40,7,14,3,3,8,18,5,1,,3,33,,,,0,11,3,4,,,,,,,10.9,18birdies,
2026-05-17,fc30a2c0-5216-11f1-9419-026cea355d3f,Campestre de Tijuana,,,72,18,87,15,44,43,6,14,3,5,4,18,7,2,,3,38,,,,1,4,10,3,,,,,,,14.2,18birdies,
2026-05-23,5f3cc340-56d0-11f1-b319-026cea355d3f,Enagic at Eastlake,,,72,18,89,17,44,45,3,14,3,6,8,18,4,2,1,1,35,,,,0,7,6,5,,,,,,,16.9,18birdies,
2026-05-23,04643ec0-56f9-11f1-b319-026cea355d3f,Enagic at Eastlake,,,72,18,91,19,45,46,5,14,2,5,4,18,5,,1,4,32,,,,0,4,10,4,,,,,,,18.7,18birdies,
2026-05-26,b2bd2bf0-594a-11f1-81fa-068d11321665,Enagic at Eastlake,,,,9,42,,42,,2,7,2,1,3,9,1,,1,2,17,,,,1,2,5,1,,,,,,,12.6,18birdies,
2026-05-26,3380c560-5957-11f1-81fa-068d11321665,Enagic at Eastlake,,,,9,49,,49,,3,7,1,3,6,9,1,1,,1,22,,,,0,1,5,3,,,,,,,25.3,18birdies,
2026-05-28,1ea151f0-5ae7-11f1-ac0b-0a13f7eef7bd,Enagic at Eastlake,Blue,6224,72,18,79,7,36,43,9,14,2,2,11,18,3,1,,1,34,,,,3,7,6,2,,,,,,,8.0,18birdies+csv,First sub-80. No warmup. Birdie on 18 from 20ft.
2026-05-30,ea8c9700-5c74-11f1-98b6-0606d22ea88b,Enagic at Eastlake,Black,6606,72,18,85,13,40,45,6,14,,8,8,18,2,,1,5,33,,,,1,7,6,4,,,,,,,14.3,18birdies+csv,Backed up the 79 from the longest tees.
2026-05-30,af032000-5c51-11f1-98b6-0606d22ea88b,Balboa Park,,,,9,41,,41,,1,5,1,2,2,9,1,2,,3,14,,,,1,2,3,3,,,,,,,23.8,18birdies,
2026-06-05,b7a70070-6127-11f1-80d8-026cea355d3f,Enagic at Eastlake,,,72,18,91,19,44,47,5,14,3,4,4,18,4,1,5,1,36,,,,0,5,8,5,,,,,,,18.7,18birdies,
2026-06-06,6e238631-61db-11f1-aca5-02d9778a0d31,Torrey Pines North,,,72,18,84,12,40,44,5,14,4,5,10,18,3,1,2,,32,,,,2,5,9,2,,,,,,,10.4,18birdies+csv,129 slope. Two birdies on the front.
2026-06-07,59f1c5f0-620d-11f1-aca5-02d9778a0d31,Torrey Pines Golf Course,,,,9,43,,43,,3,7,,2,3,9,4,,1,,17,,,,1,1,6,1,,,,,,,11.2,18birdies,
2026-06-14,f307ab41-6804-11f1-af89-02d9778a0d31,Enagic at Eastlake,,,72,18,86,14,44,42,7,14,3,3,10,18,3,,2,2,38,,,,0,7,8,3,,,,,,,14.2,18birdies,
2026-07-08,b42b1fa0-7acf-11f1-b7a1-02d9778a0d31,Costa Navarino,,,72,18,98,26,51,47,3,13,2,4,4,18,10,1,,,41,,,,0,2,8,8,,,,,,,21.3,18birdies,
2026-07-24,d14b4ab0-8772-11f1-95d9-0a676d1aa88b,Miami Beach GC,,,72,18,93,21,44,49,4,14,2,6,2,18,5,1,2,5,37,,,,1,1,11,5,,,,,,,17.0,18birdies+csv,First round back after ~7 weeks off. Rain. Unfamiliar course.
2026-07-31,e983fb11-8d10-11f1-aa44-0a676d1aa88b,Enagic at Eastlake,Blue,6224,72,18,81,9,42,39,5,14,6,3,10,18,3,,2,1,32,1,2,40,2,9,3,4,,,,,,,9.8,18birdies+csv,Driver hook on the front. All four doubles on the front nine.
2026-08-01,13eca211-8db8-11f1-aa44-0a676d1aa88b,Enagic at Eastlake,Blue,6224,72,18,86,14,40,46,8,14,1,5,7,18,3,,2,4,35,,2,11.1,1,6,8,3,,,,,,,14.2,18birdies+csv,Driver fixed but short game gone. 4h12m round. Par-5 avg 6.3.
2026-08-04,934269f0-9051-11f1-b077-02d9778a0d31,Enagic at Eastlake,Blue,6224,72,18,81,9,40,41,7,14,1,4,6,18,6,2,,4,32,2,0,44.4,1,8,8,1,,,,,,,9.8,18birdies+csv,Zero penalties. Hover fixed the hook. 81 with only 6 GIR.
2026-08-08,69998ed0-933f-11f1-8519-02e3a2bf5c95,Corica Park North,Blue,6087,72,18,90,18,47,43,7,14,2,3,8,18,3,1,,2,42,8,4,40,1,3,10,4,,,,,,,18.1,18birdies+csv,First time on course. 42 putts / 8 three-putts on severe greens. Par-5 avg 6.5.
2026-08-15,c5a824a0-98f0-11f1-90a6-0a676d1aa88b,Campestre de Tijuana,White,6261,72,18,87,15,42,45,7,14,1,5,7,18,6,2,,1,37,2,0,12.5,0,7,8,3,,,,,,,15.4,18birdies+csv,17 mph wind. Zero penalties. Par-4 avg 5.2 buried the round.
2026-08-18,91f89ca0-9b59-11f1-8519-02e3a2bf5c95,Enagic at Eastlake,Blue,6224,72,18,91,19,45,46,5,14,5,1,6,18,3,1,,4,33,2,3,33.3,0,7,5,6,,,,,,,18.7,18birdies+csv,Fourth straight day of golf with no food. Hook returned. First round with L.A.B. putter.
2026-08-22,86d0e0f0-9e59-11f1-8519-02e3a2bf5c95,Campestre de Tijuana,White,6261,72,18,82,10,41,41,6,14,2,5,6,18,4,,1,2,29,0,1,12.5,1,7,9,1,,,,,,,9.7,18birdies+csv,Rested. 29 putts and zero three-putts. Topped driver on 15 and hybrid on 18.
2026-08-27,d66c62a0-a265-11f1-89c5-0a676d1aa88b,Enagic at Eastlake,Blue,6224,72,18,76,4,39,37,5,14,5,3,6,18,3,3,2,1,26,1,1,83.3,1,14,1,2,,,,,,,5.3,18birdies+csv,CAREER BEST. 12 pars. Driver hooking so played 5-wood off the tee. 26 putts = top 1% at course.
2026-08-29,53baeb80-a3d0-11f1-89e1-0a13f7eef7bd,Enagic at Eastlake,Blue,6224,72,18,83,11,43,40,4,14,3,4,10,18,3,1,2,1,35,1,1,20,1,9,4,4,,,,,,,11.6,18birdies+csv,First round after driver lesson. Driver longer than ever no hooks. Two doubles from bunkers. 5h round.
2026-08-30,c0665c30-a487-11f1-be3b-0a676d1aa88b,Campestre de Tijuana,Azul,6581,72,18,82,10,43,39,8,14,2,4,11,18,4,,1,1,34,2,0,66.7,0,12,2,4,,,,,,,9.7,18birdies+csv,Longest tees at Campestre. 11 GIR ties career best. Zero penalties. Three straight doubles on 6-7-8.
2026-09-02,9651f2d0-a719-11f1-be3b-0a676d1aa88b,Enagic at Eastlake,Blue,6224,72,18,78,6,38,40,9,14,1,4,10,18,5,2,,1,33,,,,4,5,8,1,,,,,,,7.1,18birdies+csv,"Second-best ever. 1 double, 10 GIR, 9 fairways. First round that matches the target card shape."
2026-09-03,8dea18a0-a7e3-11f1-8b78-02d9778a0d31,Incline Village,,,72,18,99,27,50,49,9,14,2,2,3,18,6,4,1,1,39,,,,1,3,5,9,,,firm,fast,,5-wood,19.5,18birdies+csv,"First visit, ~6300 ft. Fastest greens ever played; approaches would not check, bounced straight over. Driver was a disaster so played 5-wood off the tee."
2026-09-04,bd436370-a87b-11f1-8b78-02d9778a0d31,Incline Village,,,72,18,95,23,44,51,8,14,2,4,3,18,5,1,,5,37,,,,0,5,5,8,,,firm,fast,,5-wood,18.7,18birdies+csv,"Day two at Incline. Same firm fast greens, same 5-wood off the tee. Third straight day of golf."
2026-09-08,69c811b0-abd1-11f1-8b78-02d9778a0d31,Enagic at Eastlake,Blue,6224,72,18,86,14,46,40,6,14,2,5,8,18,5,,3,,36,3,0,0.0,1,4,12,1,,,soft,medium,9 mph,driver/5-wood mix,14.2,18birdies+csv,"Felt like a normal ball-striking day: no topped drives, no hooks, approaches manageable, several chips inside 5-10 ft. Missed nearly every makeable par putt from 5-15 ft. Tee-to-green at or above average; the score came entirely off the greens."
2026-09-11,0caf3260-ae24-11f1-9eb9-02e3a2bf5c95,Enagic at Eastlake,,,72,18,81,9,42,39,7,14,5,1,10,18,3,,1,2,36,,,,0,10,7,1,,,,,,,9.8,18birdies,
2026-09-15,74030110-b150-11f1-91fb-068d11321665,Enagic at Eastlake,,,72,18,87,15,44,43,7,14,3,4,6,18,6,2,2,1,34,,,,1,6,7,4,,,,,,,14.2,18birdies,
